,feats,importance
0,CODE_GENDER,46
1,FLAG_OWN_CAR,34
2,FLAG_OWN_REALTY,0
3,CNT_CHILDREN,9
4,AMT_INCOME_TOTAL,93
5,AMT_CREDIT,207
6,AMT_ANNUITY,201
7,AMT_GOODS_PRICE,131
8,REGION_POPULATION_RELATIVE,194
9,DAYS_BIRTH,311
10,DAYS_EMPLOYED,193
11,DAYS_REGISTRATION,223
12,DAYS_ID_PUBLISH,196
13,FLAG_MOBIL,0
14,FLAG_EMP_PHONE,0
15,FLAG_WORK_PHONE,0
16,FLAG_CONT_MOBILE,0
17,FLAG_PHONE,4
18,FLAG_EMAIL,5
19,CNT_FAM_MEMBERS,30
20,REGION_RATING_CLIENT,9
21,REGION_RATING_CLIENT_W_CITY,11
22,HOUR_APPR_PROCESS_START,73
23,REG_REGION_NOT_LIVE_REGION,0
24,REG_REGION_NOT_WORK_REGION,3
25,LIVE_REGION_NOT_WORK_REGION,6
26,REG_CITY_NOT_LIVE_CITY,12
27,REG_CITY_NOT_WORK_CITY,5
28,LIVE_CITY_NOT_WORK_CITY,2
29,EXT_SOURCE_2,267
30,EXT_SOURCE_3,226
31,YEARS_BEGINEXPLUATATION_AVG,134
32,FLOORSMAX_AVG,56
33,YEARS_BEGINEXPLUATATION_MODE,151
34,FLOORSMAX_MODE,28
35,YEARS_BEGINEXPLUATATION_MEDI,113
36,FLOORSMAX_MEDI,45
37,TOTALAREA_MODE,251
38,OBS_30_CNT_SOCIAL_CIRCLE,51
39,DEF_30_CNT_SOCIAL_CIRCLE,11
40,OBS_60_CNT_SOCIAL_CIRCLE,33
41,DEF_60_CNT_SOCIAL_CIRCLE,17
42,DAYS_LAST_PHONE_CHANGE,134
43,FLAG_DOCUMENT_2,0
44,FLAG_DOCUMENT_3,23
45,FLAG_DOCUMENT_4,0
46,FLAG_DOCUMENT_5,0
47,FLAG_DOCUMENT_6,0
48,FLAG_DOCUMENT_7,0
49,FLAG_DOCUMENT_8,0
50,FLAG_DOCUMENT_9,0
51,FLAG_DOCUMENT_10,0
52,FLAG_DOCUMENT_11,0
